City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Kolkata,2015-01-10,415.5,586.8,18.3,138.5,100.0,47.7,4.33,59.6,59.2,158.5,Moderate
Bangalore,2015-01-10,449.3,460.8,0.7,2.8,51.5,36.7,8.78,26.9,76.1,443.8,Severe
Delhi,2015-01-11,439.9,495.3,135.7,93.8,140.1,22.8,9.87,79.3,119.7,493.3,Severe
Mumbai,2015-01-11,144.3,120.8,71.2,58.2,213.0,45.1,5.15,95.9,63.6,318.9,Very Poor
Chennai,2015-01-11,279.8,525.6,110.7,1.1,200.5,45.4,2.65,62.1,171.0,429.8,Severe
Kolkata,2015-01-11,340.3,457.5,116.0,148.7,159.7,9.2,6.18,60.6,59.5,490.3,Severe
Bangalore,2015-01-11,470.4,237.2,9.3,49.5,137.8,43.0,8.68,92.9,158.0,191.5,Moderate
Delhi,2015-01-12,59.0,239.1,175.8,118.4,153.6,32.1,0.1,90.7,191.8,258.9,Poor
Mumbai,2015-01-12,126.2,470.0,183.4,71.4,121.9,30.5,9.13,71.7,59.2,457.0,Severe
Chennai,2015-01-12,391.2,24.4,3.1,133.3,222.1,21.2,9.57,6.3,176.9,221.1,Poor
Kolkata,2015-01-12,44.1,533.8,170.5,34.1,75.2,27.7,7.51,50.7,19.7,168.8,Moderate
Bangalore,2015-01-12,138.2,431.8,119.0,46.9,180.4,22.2,6.57,70.2,128.9,402.1,Severe
Delhi,2015-01-13,15.9,408.7,182.4,33.6,112.6,31.7,9.49,12.3,25.7,373.3,Very Poor
Mumbai,2015-01-13,11.4,261.5,120.0,70.2,2.9,23.6,7.79,21.0,104.0,211.5,Poor
Chennai,2015-01-13,151.9,242.5,85.7,1.5,57.8,0.5,8.16,50.4,104.8,324.7,Very Poor
Kolkata,2015-01-13,155.0,353.5,133.8,48.9,73.2,34.3,9.64,11.2,86.6,327.1,Very Poor
Bangalore,2015-01-13,146.7,59.5,48.2,32.7,222.4,14.6,1.0,50.5,101.1,320.7,Very Poor
Delhi,2015-01-14,33.1,568.6,154.4,145.7,96.1,16.7,2.65,13.5,89.5,165.7,Moderate
Mumbai,2015-01-14,260.6,450.2,8.1,1.6,136.0,45.3,6.09,14.5,46.0,428.5,Severe
Chennai,2015-01-14,338.7,223.1,103.9,94.8,204.3,1.2,9.61,4.1,80.1,488.7,Severe
Kolkata,2015-01-14,93.6,283.7,49.3,35.6,14.5,14.7,3.79,42.8,85.2,233.7,Poor
Bangalore,2015-01-14,487.0,70.9,173.6,53.5,249.2,5.6,6.43,75.5,24.0,155.3,Moderate
Delhi,2015-01-15,67.7,597.1,17.2,34.8,180.1,38.8,5.05,13.3,48.5,138.0,Moderate
Mumbai,2015-01-15,429.8,345.4,13.4,50.2,120.3,33.9,4.27,35.3,127.1,295.4,Poor
Chennai,2015-01-15,172.5,481.8,67.9,2.1,132.4,11.6,8.75,49.0,39.6,473.9,Severe
Kolkata,2015-01-15,63.1,121.1,37.5,8.3,68.8,27.9,3.54,5.6,171.2,206.6,Poor
Bangalore,2015-01-15,415.9,429.8,76.9,140.1,147.9,29.8,1.46,30.9,135.4,399.7,Very Poor
Delhi,2015-01-16,283.3,260.2,137.0,12.5,158.5,1.9,1.88,91.3,167.1,433.3,Severe
Mumbai,2015-01-16,400.7,50.6,24.2,105.4,103.1,18.7,0.04,27.0,70.9,125.4,Moderate
Chennai,2015-01-16,259.6,202.0,58.3,0.9,132.1,42.0,0.94,19.9,194.9,409.6,Severe
Kolkata,2015-01-16,42.1,279.2,32.5,74.1,173.4,35.0,4.72,82.4,169.0,229.2,Poor
Bangalore,2015-01-16,198.2,108.9,139.3,102.7,238.4,7.9,9.48,8.2,59.1,360.2,Very Poor
Delhi,2015-01-17,378.5,185.2,124.3,129.2,116.2,37.9,6.57,98.7,81.2,157.0,Moderate
Mumbai,2015-01-17,310.7,276.4,172.9,41.5,173.6,26.4,6.74,44.2,175.1,460.7,Severe
Chennai,2015-01-17,391.2,19.4,106.1,149.0,30.2,35.2,9.12,7.8,109.5,189.0,Moderate
Kolkata,2015-01-17,475.3,296.7,119.5,70.6,130.0,39.1,8.12,97.8,59.1,246.7,Poor
Bangalore,2015-01-17,368.9,476.1,131.9,90.5,186.7,8.4,6.73,41.4,5.3,465.7,Severe
Delhi,2015-01-18,486.5,401.3,97.5,1.0,67.5,21.3,2.88,63.0,171.9,364.0,Very Poor
Mumbai,2015-01-18,408.4,375.4,35.3,72.6,175.0,4.8,2.2,23.2,67.5,331.6,Very Poor
Chennai,2015-01-18,481.6,113.7,126.7,7.9,249.5,24.2,5.22,39.3,197.5,273.3,Poor
Kolkata,2015-01-18,408.7,407.1,6.2,70.4,242.6,45.6,0.4,97.0,94.0,371.3,Very Poor
Bangalore,2015-01-18,14.0,456.9,88.4,112.2,166.8,16.0,8.68,11.9,27.3,438.2,Severe
Delhi,2015-01-19,176.7,498.0,108.8,98.2,224.1,44.6,7.15,95.7,100.2,497.1,Severe
Mumbai,2015-01-19,358.0,290.4,84.5,102.0,122.5,19.6,5.01,62.5,104.3,240.4,Poor
Chennai,2015-01-19,340.4,538.3,54.7,65.9,94.5,8.4,8.4,58.5,20.9,490.4,Severe
Kolkata,2015-01-19,58.6,534.5,91.6,6.5,42.0,47.9,1.92,64.1,171.6,207.6,Poor
Bangalore,2015-01-19,306.8,78.0,43.2,115.6,95.1,30.5,3.47,0.8,140.9,456.8,Severe
Delhi,2015-01-20,187.7,42.5,138.5,4.3,82.5,33.2,1.87,60.7,172.3,352.2,Very Poor
Mumbai,2015-01-20,478.8,359.8,45.7,50.3,151.7,27.3,2.52,39.4,61.1,312.0,Very Poor
Chennai,2015-01-20,144.8,52.9,13.8,109.9,38.9,26.7,6.93,7.2,17.3,319.3,Very Poor
Kolkata,2015-01-20,394.8,356.9,31.4,108.2,137.9,33.0,9.2,11.3,188.0,308.4,Very Poor
Bangalore,2015-01-20,465.8,185.2,172.6,75.5,71.7,2.2,6.13,49.3,127.4,156.9,Moderate
Delhi,2015-01-21,3.5,506.4,143.5,146.1,53.1,2.6,3.92,81.4,53.8,166.1,Moderate
Mumbai,2015-01-21,70.9,86.1,156.8,15.5,28.9,19.8,2.19,22.8,56.6,134.8,Moderate
Chennai,2015-01-21,374.0,277.3,90.4,146.5,113.7,45.7,0.41,89.6,154.4,227.3,Poor
Kolkata,2015-01-21,96.1,514.2,160.0,57.8,35.7,36.7,1.08,69.3,155.2,218.4,Poor
Bangalore,2015-01-21,21.2,271.6,43.0,46.7,91.6,20.2,1.16,40.6,183.6,238.1,Poor
Delhi,2015-01-22,403.8,423.9,106.4,41.3,106.2,23.0,8.67,68.2,135.0,392.4,Very Poor
Mumbai,2015-01-22,131.2,368.1,24.2,80.9,9.5,28.5,6.61,37.5,40.1,322.4,Very Poor
Chennai,2015-01-22,90.0,428.5,123.1,48.7,16.2,36.1,0.5,49.2,52.7,398.1,Very Poor
Kolkata,2015-01-22,247.5,112.7,108.0,5.3,16.4,26.4,1.01,35.7,163.7,398.1,Very Poor
Bangalore,2015-01-22,180.2,53.0,90.6,132.1,226.1,9.3,6.29,2.7,125.7,346.4,Very Poor
Delhi,2015-01-23,157.5,365.1,151.9,57.5,103.4,41.2,4.1,37.0,139.6,329.0,Very Poor
Mumbai,2015-01-23,476.7,360.1,14.4,148.5,49.3,4.5,8.41,48.4,160.9,312.4,Very Poor
Chennai,2015-01-23,153.9,337.5,18.1,114.3,148.8,26.0,0.53,17.6,93.1,326.2,Very Poor
Kolkata,2015-01-23,437.7,541.7,83.8,91.2,88.0,44.1,6.09,2.6,17.6,151.0,Moderate
Bangalore,2015-01-23,469.0,122.7,156.3,104.5,94.6,34.2,6.35,84.1,151.6,175.8,Moderate
Delhi,2015-01-24,188.3,442.6,191.0,82.8,181.5,13.7,0.53,3.6,37.1,417.6,Severe
Mumbai,2015-01-24,420.7,186.9,32.9,45.8,234.1,31.1,4.81,12.5,185.8,243.6,Poor
Chennai,2015-01-24,232.1,581.7,104.6,50.3,226.3,47.5,5.06,38.1,17.9,386.3,Very Poor
Kolkata,2015-01-24,141.5,208.7,172.3,79.3,191.1,8.0,5.06,27.3,20.2,316.7,Very Poor
Bangalore,2015-01-24,172.9,579.7,80.7,21.4,93.2,6.2,6.28,50.8,159.2,340.8,Very Poor
Delhi,2015-01-25,397.3,457.0,112.9,100.4,87.4,21.1,7.67,76.0,2.7,438.3,Severe
Mumbai,2015-01-25,353.4,178.3,105.4,79.3,104.7,48.1,4.61,23.1,181.1,231.7,Poor
Chennai,2015-01-25,122.2,97.8,140.8,106.0,234.2,6.6,2.59,73.6,109.3,301.9,Very Poor
Kolkata,2015-01-25,113.3,432.1,67.7,3.6,95.5,27.4,7.8,91.8,48.3,402.6,Severe
Bangalore,2015-01-25,219.2,22.7,7.2,121.4,75.0,31.6,6.53,95.3,58.6,376.4,Very Poor
Delhi,2015-01-26,336.2,576.0,52.7,6.6,157.1,0.4,4.15,96.1,165.4,486.2,Severe
Mumbai,2015-01-26,52.5,410.4,132.1,61.3,162.1,18.6,3.19,18.0,198.3,375.4,Very Poor
Chennai,2015-01-26,487.7,332.9,140.6,94.1,107.2,12.2,5.26,66.6,14.5,282.9,Poor
Kolkata,2015-01-26,13.2,474.7,103.8,82.2,237.0,20.6,7.59,35.6,29.9,463.7,Severe
Bangalore,2015-01-26,274.2,119.4,78.8,34.3,35.9,19.5,0.31,79.3,20.4,424.2,Severe
Delhi,2015-01-27,125.9,443.0,35.0,120.4,103.5,41.6,4.44,30.5,91.4,418.2,Severe
Mumbai,2015-01-27,50.4,334.5,116.3,94.8,199.5,34.7,0.89,93.6,59.9,284.5,Poor
Chennai,2015-01-27,258.8,116.4,139.9,139.7,153.0,4.8,2.74,51.1,181.9,408.8,Severe
Kolkata,2015-01-27,316.8,527.0,168.0,28.6,113.8,14.1,2.1,95.6,91.4,466.8,Severe
Bangalore,2015-01-27,469.0,203.6,6.7,120.8,224.1,27.3,4.59,65.7,110.2,169.2,Moderate
Delhi,2015-01-28,67.1,557.4,141.8,141.9,20.8,39.4,5.7,58.0,4.3,161.9,Moderate
Mumbai,2015-01-28,373.7,173.1,160.7,78.5,75.1,43.2,2.88,93.8,64.8,148.9,Moderate
Chennai,2015-01-28,356.2,11.9,182.8,95.5,173.4,14.4,7.42,99.6,143.2,167.7,Moderate
Kolkata,2015-01-28,4.5,41.8,77.2,123.5,201.1,44.8,7.97,36.0,109.7,174.6,Moderate
Bangalore,2015-01-28,447.1,152.5,38.3,131.8,91.2,12.1,8.66,30.7,172.3,209.4,Poor
Delhi,2015-01-29,122.3,457.2,137.7,46.7,110.1,13.7,0.77,95.0,127.3,438.6,Severe
Mumbai,2015-01-29,174.8,500.3,52.0,116.3,37.0,35.9,1.61,83.5,103.3,342.3,Very Poor
Chennai,2015-01-29,485.9,513.1,163.1,135.0,140.5,37.7,3.37,9.8,18.7,155.0,Moderate
Kolkata,2015-01-29,436.0,595.6,160.1,86.0,27.5,2.9,5.1,9.6,77.4,138.6,Moderate
Bangalore,2015-01-29,258.8,95.3,145.4,77.9,13.3,13.3,6.48,16.4,150.5,408.8,Severe
Delhi,2015-01-30,485.5,128.0,37.5,103.7,79.1,10.8,1.14,6.5,133.6,149.2,Moderate
Mumbai,2015-01-30,481.7,472.6,30.1,92.2,166.7,37.6,5.35,39.2,133.2,460.7,Severe
Chennai,2015-01-30,53.6,580.2,75.4,127.8,135.8,47.7,2.2,58.0,16.6,147.8,Moderate
Kolkata,2015-01-30,140.8,249.9,130.4,95.8,244.7,12.8,1.0,79.8,8.9,316.2,Very Poor
Bangalore,2015-01-30,17.6,418.7,166.1,62.8,46.6,44.5,8.19,85.4,94.4,385.8,Very Poor
Delhi,2015-01-31,405.9,355.9,116.2,88.1,125.4,26.6,6.87,87.6,109.2,307.1,Very Poor
Mumbai,2015-01-31,466.3,497.0,125.7,12.5,188.5,4.4,9.37,41.2,83.4,495.7,Severe
Chennai,2015-01-31,18.5,301.8,131.1,135.2,90.1,49.8,0.11,97.6,168.6,251.8,Poor
Kolkata,2015-01-31,345.1,486.9,167.1,34.3,31.2,1.3,3.72,87.9,124.3,495.1,Severe
Bangalore,2015-01-31,327.5,71.1,73.7,105.1,203.7,3.0,6.85,4.4,28.9,477.5,Severe
Delhi,2015-02-01,4.2,172.2,85.1,0.9,146.2,47.1,2.99,91.0,36.4,148.3,Moderate
Mumbai,2015-02-01,310.5,197.1,140.2,126.3,167.0,8.0,6.77,76.9,156.1,460.5,Severe
Chennai,2015-02-01,280.3,116.3,183.7,7.2,209.2,37.6,3.96,47.2,111.6,430.3,Severe
Kolkata,2015-02-01,73.6,568.9,175.9,138.6,231.9,5.6,9.39,51.7,133.0,192.4,Moderate
Bangalore,2015-02-01,245.6,397.9,73.9,91.1,212.8,46.1,1.84,59.0,6.3,396.6,Very Poor
Delhi,2015-02-02,334.2,286.2,108.7,139.7,54.2,32.4,2.99,14.9,76.3,484.2,Severe
Mumbai,2015-02-02,44.3,385.8,51.0,1.3,237.1,18.4,1.2,35.8,71.8,344.6,Very Poor
Chennai,2015-02-02,415.4,322.5,7.9,122.1,242.8,23.3,8.88,17.4,198.4,275.6,Poor
Kolkata,2015-02-02,469.7,124.6,7.7,63.3,69.1,20.3,3.5,16.3,83.5,118.5,Moderate
Bangalore,2015-02-02,265.2,8.8,63.5,97.5,21.2,15.6,1.71,41.5,85.7,415.2,Severe
Delhi,2015-02-03,292.7,5.6,160.1,110.9,97.6,34.1,4.79,49.8,55.2,442.7,Severe
Mumbai,2015-02-03,229.6,71.9,145.4,116.6,194.1,5.3,0.43,87.5,38.9,384.3,Very Poor
Chennai,2015-02-03,391.0,113.5,71.8,54.5,203.3,7.7,5.41,32.7,43.0,142.5,Moderate
Kolkata,2015-02-03,304.6,10.0,195.8,15.7,63.8,32.3,9.1,18.4,123.3,454.6,Severe
Bangalore,2015-02-03,413.9,371.0,153.5,37.8,117.5,6.5,8.55,56.1,132.0,326.1,Very Poor
Delhi,2015-02-04,413.1,254.3,156.9,44.4,239.4,23.1,5.08,39.5,28.9,204.3,Poor
Mumbai,2015-02-04,415.4,72.9,175.3,19.3,184.6,6.8,8.19,88.4,194.0,264.5,Poor
Chennai,2015-02-04,212.3,11.5,189.4,1.7,208.4,8.1,6.44,12.1,64.9,371.1,Very Poor
Kolkata,2015-02-04,439.2,345.4,147.4,5.5,175.3,41.5,3.03,84.5,177.7,295.4,Poor
Bangalore,2015-02-04,76.2,253.1,58.5,88.6,8.2,4.4,4.31,46.3,79.7,203.1,Poor
Delhi,2015-02-05,172.9,328.3,79.4,28.6,207.0,13.3,8.51,85.2,189.5,340.8,Very Poor
Mumbai,2015-02-05,477.3,171.5,76.4,121.4,192.5,3.2,5.81,45.2,50.7,147.8,Moderate
Chennai,2015-02-05,301.3,302.1,100.1,81.7,220.6,11.1,4.91,14.1,136.9,451.3,Severe
Kolkata,2015-02-05,218.2,15.7,67.1,92.3,184.2,44.2,9.91,43.6,118.7,375.6,Very Poor
Bangalore,2015-02-05,73.8,57.2,114.9,37.9,185.6,6.5,1.48,47.3,86.3,144.7,Moderate
Delhi,2015-02-06,23.8,436.9,190.1,88.6,221.6,1.1,0.46,71.2,144.9,409.5,Severe
Mumbai,2015-02-06,352.0,426.6,106.5,20.6,117.8,10.4,6.37,47.3,135.9,395.7,Very Poor
Chennai,2015-02-06,452.7,182.3,3.6,65.3,130.9,15.3,2.14,81.4,192.0,259.4,Poor
Kolkata,2015-02-06,417.5,404.5,179.3,67.2,182.0,30.9,0.15,89.3,104.3,368.0,Very Poor
Bangalore,2015-02-06,56.8,201.4,48.7,121.0,97.0,26.2,9.2,20.6,48.5,190.0,Moderate
Delhi,2015-02-07,207.1,288.6,197.7,66.6,80.7,49.8,0.73,71.2,51.0,367.1,Very Poor
Mumbai,2015-02-07,104.9,592.0,75.4,43.0,128.7,45.0,1.28,49.4,9.3,248.5,Poor
Chennai,2015-02-07,170.4,223.5,38.0,72.9,120.2,39.1,2.97,32.6,24.0,338.9,Very Poor
Kolkata,2015-02-07,332.8,347.2,142.9,117.4,210.8,49.0,3.04,43.8,147.0,482.8,Severe
Bangalore,2015-02-07,375.1,280.7,6.4,115.6,116.0,37.8,2.47,4.0,71.1,230.7,Poor
Delhi,2015-02-08,21.0,132.5,140.7,105.3,139.7,27.5,1.86,26.8,18.6,125.3,Moderate
Mumbai,2015-02-08,457.6,131.8,95.0,84.8,125.8,8.4,7.64,28.6,119.0,170.4,Moderate
Chennai,2015-02-08,280.6,536.1,181.9,12.9,69.1,8.0,6.04,72.1,172.8,430.6,Severe
Kolkata,2015-02-08,138.5,201.9,9.5,103.3,54.5,2.5,0.15,45.0,166.9,314.4,Very Poor
Bangalore,2015-02-08,287.3,346.6,85.5,114.7,100.5,41.5,4.48,52.6,140.8,437.3,Severe
Delhi,2015-02-09,476.6,581.6,20.3,73.0,193.8,12.6,6.1,29.9,106.4,151.1,Moderate
Mumbai,2015-02-09,263.0,44.0,29.4,4.4,87.8,19.5,4.9,35.1,129.1,413.0,Severe
Chennai,2015-02-09,7.6,584.2,154.9,71.9,223.2,39.2,0.85,69.7,29.0,89.8,Satisfactory
Kolkata,2015-02-09,161.0,105.8,13.6,67.7,80.8,26.0,7.06,0.8,17.3,331.7,Very Poor
Bangalore,2015-02-09,270.0,331.6,6.9,4.6,157.0,22.1,9.34,63.3,174.6,420.0,Severe
Delhi,2015-02-10,262.9,178.7,75.4,34.7,188.0,39.8,1.08,2.5,142.6,412.9,Severe
Mumbai,2015-02-10,183.3,50.4,62.9,56.6,164.0,25.8,9.44,69.3,192.2,348.8,Very Poor
Chennai,2015-02-10,99.7,576.2,132.7,46.4,73.5,47.3,5.14,61.3,46.8,230.7,Poor
Kolkata,2015-02-10,162.9,266.0,53.3,2.2,194.0,1.6,5.95,47.6,17.5,333.2,Very Poor
Bangalore,2015-02-10,419.1,43.5,80.1,35.5,239.7,28.1,4.99,22.3,40.9,137.2,Moderate
Delhi,2015-02-11,87.9,210.8,30.8,149.5,197.5,9.6,6.64,34.9,72.4,192.8,Moderate
Mumbai,2015-02-11,221.3,155.1,98.7,120.6,93.5,3.9,4.03,7.0,33.9,378.0,Very Poor
Chennai,2015-02-11,79.8,225.9,191.9,138.9,86.1,15.3,4.21,2.5,151.7,184.0,Moderate
Kolkata,2015-02-11,265.3,229.5,56.1,78.7,244.5,6.3,8.29,57.7,91.6,415.3,Severe
Bangalore,2015-02-11,127.8,526.8,179.1,134.0,0.3,33.8,1.79,91.1,14.8,306.2,Very Poor
Delhi,2015-02-12,416.1,398.4,145.2,127.7,247.4,45.7,3.24,8.0,27.4,360.4,Very Poor
Mumbai,2015-02-12,212.7,132.7,108.4,47.0,37.3,28.5,5.09,29.7,30.9,371.4,Very Poor
Chennai,2015-02-12,414.9,99.5,36.8,111.2,77.2,38.1,3.25,69.7,164.7,195.1,Moderate
Kolkata,2015-02-12,458.1,277.6,133.4,62.8,5.1,6.4,6.46,79.6,55.0,227.6,Poor
Bangalore,2015-02-12,318.1,363.3,79.6,121.0,33.3,31.0,7.97,66.8,172.9,468.1,Severe
Delhi,2015-02-13,64.2,531.8,24.7,50.7,168.3,18.3,1.17,7.3,122.4,132.6,Moderate
Mumbai,2015-02-13,9.8,449.1,113.5,84.1,114.3,22.1,5.65,76.3,134.8,427.0,Severe
Chennai,2015-02-13,262.6,479.1,124.4,63.7,114.8,4.5,8.74,47.1,105.0,470.0,Severe
Kolkata,2015-02-13,142.6,47.3,195.7,24.0,163.9,23.9,4.38,61.5,189.9,317.6,Very Poor
Bangalore,2015-02-13,98.7,170.3,76.9,102.2,218.9,36.4,1.24,98.6,72.7,227.3,Poor
Delhi,2015-02-14,381.0,226.1,56.2,137.1,89.2,48.1,8.28,88.5,134.2,184.1,Moderate
Mumbai,2015-02-14,160.2,138.2,95.2,54.7,173.7,5.5,3.87,37.0,34.6,331.1,Very Poor
Chennai,2015-02-14,366.0,213.6,5.8,54.6,128.8,20.7,0.62,7.2,109.7,175.8,Moderate
Kolkata,2015-02-14,90.9,239.9,50.1,69.9,229.9,8.7,4.36,3.8,57.3,193.3,Moderate
Bangalore,2015-02-14,308.9,324.1,62.1,77.5,111.0,32.9,5.28,91.4,124.7,458.9,Severe
Delhi,2015-02-15,389.3,412.5,71.4,85.3,167.1,27.1,9.15,60.6,41.6,378.1,Very Poor
Mumbai,2015-02-15,237.0,430.7,91.9,124.9,13.3,16.3,6.29,9.2,9.7,390.0,Very Poor
Chennai,2015-02-15,232.9,298.4,81.7,131.6,183.9,47.1,7.89,11.5,29.0,386.9,Very Poor
Kolkata,2015-02-15,430.0,584.0,123.2,5.4,227.2,32.8,1.74,49.1,98.0,98.0,Satisfactory
Bangalore,2015-02-15,148.2,233.0,167.4,70.1,145.2,44.7,2.2,77.6,46.2,321.9,Very Poor
Delhi,2015-02-16,65.4,70.3,49.0,43.2,80.0,22.6,4.59,30.2,31.9,132.2,Moderate
Mumbai,2015-02-16,164.8,289.7,196.4,136.1,55.8,5.2,6.53,89.7,84.1,334.6,Very Poor
Chennai,2015-02-16,482.4,466.1,139.5,69.7,235.9,17.1,0.16,32.4,19.9,451.4,Severe
Kolkata,2015-02-16,483.9,302.3,44.9,54.9,237.9,34.2,3.97,4.2,65.7,252.3,Poor
Bangalore,2015-02-16,63.0,58.1,73.3,61.6,249.8,8.5,8.63,6.0,86.4,182.8,Moderate
Delhi,2015-02-17,355.9,417.6,182.8,5.5,64.6,6.8,0.31,22.2,140.9,384.5,Very Poor
Mumbai,2015-02-17,167.1,230.3,3.2,14.0,2.1,8.6,9.34,51.8,9.7,336.4,Very Poor
Chennai,2015-02-17,262.1,104.6,81.6,82.5,26.4,32.6,8.58,52.5,52.8,412.1,Severe
Kolkata,2015-02-17,319.1,446.7,92.2,72.9,244.2,21.9,7.33,58.2,171.9,469.1,Severe
Bangalore,2015-02-17,475.1,186.4,157.4,15.7,233.3,37.6,5.58,99.3,137.5,157.7,Moderate
Delhi,2015-02-18,252.3,553.2,103.6,11.2,4.9,20.0,0.78,82.4,7.8,402.3,Severe
